Configuração;Num Máquinas;Núcleos por Máquina;Taxa de Chegada (data/s);Tempo de Resposta (s);Throughput (jobs/s);Taxa de Drop (data/s);Utilização do Sistema (%);Utilização Máquina 1 (%);Utilização Máquina 2 (%)
2 Máq. × 2 Núcleos;2;2;1.0000;0.800596;1.000226;0.000000;0.198938;0.198938;0.198388
2 Máq. × 2 Núcleos;2;2;3.1111;0.996758;3.086834;0.000000;0.620032;0.620032;0.625935
2 Máq. × 2 Núcleos;2;2;5.2222;8.371665;4.995259;0.252135;0.997672;0.997672;0.997824
2 Máq. × 2 Núcleos;2;2;7.3333;11.538235;4.970496;2.358712;1.000000;1.000000;1.000000
2 Máq. × 2 Núcleos;2;2;9.4444;11.688456;4.991937;4.353063;1.000000;1.000000;1.000000
2 Máq. × 2 Núcleos;2;2;11.5556;11.842547;5.008049;6.546647;1.000000;1.000000;1.000000
2 Máq. × 2 Núcleos;2;2;13.6667;11.988096;4.977929;8.720954;1.000000;1.000000;1.000000
2 Máq. × 2 Núcleos;2;2;15.7778;12.101911;4.936306;10.849868;1.000000;1.000000;1.000000
2 Máq. × 2 Núcleos;2;2;17.8889;11.930521;4.994808;12.894060;1.000000;1.000000;1.000000
2 Máq. × 2 Núcleos;2;2;20.0000;11.956127;4.998437;15.005515;1.000000;1.000000;1.000000
2 Máq. × 4 Núcleos;2;4;1.0000;0.801780;0.996237;0.000000;0.100255;0.100255;0.099417
2 Máq. × 4 Núcleos;2;4;3.1111;0.800765;3.109215;0.000000;0.309881;0.309881;0.308201
2 Máq. × 4 Núcleos;2;4;5.2222;0.824664;5.209361;0.000000;0.522695;0.522695;0.521489
2 Máq. × 4 Núcleos;2;4;7.3333;0.925157;7.333713;0.000000;0.733700;0.733700;0.735218
2 Máq. × 4 Núcleos;2;4;9.4444;2.060197;9.402986;0.022222;0.949955;0.949955;0.945276
2 Máq. × 4 Núcleos;2;4;11.5556;5.383991;10.003414;1.544641;1.000000;1.000000;0.999820
2 Máq. × 4 Núcleos;2;4;13.6667;5.687330;10.087969;3.592631;1.000000;1.000000;1.000000
2 Máq. × 4 Núcleos;2;4;15.7778;5.829773;9.905511;5.749864;1.000000;1.000000;1.000000
2 Máq. × 4 Núcleos;2;4;17.8889;5.891316;9.991678;7.885536;1.000000;1.000000;1.000000
2 Máq. × 4 Núcleos;2;4;20.0000;5.965253;9.896816;10.032177;1.000000;1.000000;1.000000
2 Máq. × 6 Núcleos;2;6;1.0000;0.802141;0.999240;0.000000;0.066808;0.066808;0.066575
2 Máq. × 6 Núcleos;2;6;3.1111;0.797271;3.068144;0.000000;0.204969;0.204969;0.206640
2 Máq. × 6 Núcleos;2;6;5.2222;0.797515;5.281660;0.000000;0.345896;0.345896;0.345299
2 Máq. × 6 Núcleos;2;6;7.3333;0.805430;7.430730;0.000000;0.493248;0.493248;0.493215
2 Máq. × 6 Núcleos;2;6;9.4444;0.819395;9.502372;0.000000;0.632266;0.632266;0.633662
2 Máq. × 6 Núcleos;2;6;11.5556;0.881500;11.531341;0.000000;0.764214;0.764214;0.766181
2 Máq. × 6 Núcleos;2;6;13.6667;1.242868;13.655534;0.009394;0.911810;0.911810;0.915125
2 Máq. × 6 Núcleos;2;6;15.7778;2.967620;14.958976;0.830357;0.997573;0.997573;0.997776
2 Máq. × 6 Núcleos;2;6;17.8889;3.598712;15.062008;2.865446;0.999997;0.999997;1.000000
2 Máq. × 6 Núcleos;2;6;20.0000;3.813428;15.030898;5.012322;1.000000;1.000000;1.000000
2 Máq. × 8 Núcleos;2;8;1.0000;0.799476;0.999056;0.000000;0.049677;0.049677;0.049749
2 Máq. × 8 Núcleos;2;8;3.1111;0.802597;3.117317;0.000000;0.155393;0.155393;0.156468
