Configuração;Num Máquinas;Núcleos por Máquina;Taxa de Chegada (data/s);Tempo de Resposta (s);Throughput (jobs/s);Taxa de Drop (data/s);Utilização do Sistema (%);Utilização Máquina 1 (%);Utilização Máquina 2 (%);Utilização Máquina 3 (%);Utilização Máquina 4 (%);Utilização Máquina 5 (%);Utilização Máquina 6 (%);Utilização Máquina 7 (%);Utilização Máquina 8 (%);Utilização Máquina 9 (%);Utilização Máquina 10 (%)
2 Máq. × 2 Núcleos;2;2;1.0000;0.800596;1.000226;0.000000;0.198938;0.198938;0.198388;;;;;;;;
2 Máq. × 2 Núcleos;2;2;3.1111;0.996758;3.086834;0.000000;0.620032;0.620032;0.625935;;;;;;;;
2 Máq. × 2 Núcleos;2;2;5.2222;8.371665;4.995259;0.252135;0.997672;0.997672;0.997824;;;;;;;;
2 Máq. × 2 Núcleos;2;2;7.3333;11.538235;4.970496;2.358712;1.000000;1.000000;1.000000;;;;;;;;
2 Máq. × 2 Núcleos;2;2;9.4444;11.688456;4.991937;4.353063;1.000000;1.000000;1.000000;;;;;;;;
2 Máq. × 2 Núcleos;2;2;11.5556;11.842547;5.008049;6.546647;1.000000;1.000000;1.000000;;;;;;;;
2 Máq. × 2 Núcleos;2;2;13.6667;11.988096;4.977929;8.720954;1.000000;1.000000;1.000000;;;;;;;;
2 Máq. × 2 Núcleos;2;2;15.7778;12.101911;4.936306;10.849868;1.000000;1.000000;1.000000;;;;;;;;
2 Máq. × 2 Núcleos;2;2;17.8889;11.930521;4.994808;12.894060;1.000000;1.000000;1.000000;;;;;;;;
2 Máq. × 2 Núcleos;2;2;20.0000;11.956127;4.998437;15.005515;1.000000;1.000000;1.000000;;;;;;;;
4 Máq. × 2 Núcleos;4;2;1.0000;0.796508;1.003972;0.000000;0.098937;0.098937;0.100422;;;;;;;;
4 Máq. × 2 Núcleos;4;2;3.1111;0.800261;3.163684;0.000000;0.313356;0.313356;0.314845;;;;;;;;
4 Máq. × 2 Núcleos;4;2;5.2222;0.832089;5.224148;0.000000;0.520857;0.520857;0.524466;;;;;;;;
4 Máq. × 2 Núcleos;4;2;7.3333;0.949160;7.285010;0.000000;0.728022;0.728022;0.729369;;;;;;;;
4 Máq. × 2 Núcleos;4;2;9.4444;2.345676;9.457201;0.016500;0.951392;0.951392;0.939117;;;;;;;;
4 Máq. × 2 Núcleos;4;2;11.5556;11.377905;9.980567;1.556670;1.000000;1.000000;1.000000;;;;;;;;
4 Máq. × 2 Núcleos;4;2;13.6667;11.691442;10.014275;3.715490;1.000000;1.000000;1.000000;;;;;;;;
4 Máq. × 2 Núcleos;4;2;15.7778;11.821328;9.982468;5.792626;1.000000;1.000000;1.000000;;;;;;;;
4 Máq. × 2 Núcleos;4;2;17.8889;11.860911;9.915683;7.837030;1.000000;1.000000;1.000000;;;;;;;;
4 Máq. × 2 Núcleos;4;2;20.0000;11.900960;10.002346;10.018361;1.000000;1.000000;1.000000;;;;;;;;
6 Máq. × 2 Núcleos;6;2;1.0000;0.803830;1.007098;0.000000;0.066600;0.066600;0.066091;;;;;;;;
6 Máq. × 2 Núcleos;6;2;3.1111;0.790346;3.108234;0.000000;0.207090;0.207090;0.205756;;;;;;;;
6 Máq. × 2 Núcleos;6;2;5.2222;0.797016;5.229920;0.000000;0.349094;0.349094;0.346566;;;;;;;;
6 Máq. × 2 Núcleos;6;2;7.3333;0.810631;7.340906;0.000000;0.490342;0.490342;0.490149;;;;;;;;
6 Máq. × 2 Núcleos;6;2;9.4444;0.826483;9.456122;0.000000;0.627782;0.627782;0.629863;;;;;;;;
6 Máq. × 2 Núcleos;6;2;11.5556;0.925914;11.545658;0.000000;0.768889;0.768889;0.774162;;;;;;;;
