Component,Factor,Availability
Power Grid,0.5,0.9341556487913492
Power Grid,0.75,0.9367179911079005
Power Grid,1.0,0.9384532016172403
Power Grid,1.25,0.9397061231249363
Power Grid,1.5,0.9406532947749509
Edge svr,0.5,0.9370894312391768
Edge svr,0.75,0.9379981706539294
Edge svr,1.0,0.9384532016172403
Edge svr,1.25,0.9387264321667732
Edge svr,1.5,0.938908674273672
Cloud Srv,0.5,0.9375412205157054
Cloud Srv,0.75,0.9381490108433342
Cloud Srv,1.0,0.9384532016172403
Cloud Srv,1.25,0.9386358107872544
Cloud Srv,1.5,0.9387575897202248
Gateway,0.5,0.9233403211837641
Gateway,0.75,0.9333609037877891
Gateway,1.0,0.9384532016172403
Gateway,1.25,0.9415353395210266
Gateway,1.5,0.9436013701225222
Supervisor,0.5,0.9184678277301257
Supervisor,0.75,0.9316954681695281
Supervisor,1.0,0.9384532016172403
Supervisor,1.25,0.9425551016614618
Supervisor,1.5,0.9453096810878164
